Id,Name,Number of employees,Annual revenue,Website,Phone,Display phone,Address,City,State,Zipcode,Country,Facebook,Twitter,LinkedIn,Last contacted time,Last contacted mode,Last contacted via chat,Last activity type,Last activity date,Recent note,Industry type,Business type,Territory,Column1,Created at,Updated at,Active sales sequences,Completed sales sequences,Last assigned at,Column2,Column3,Column4,Owner id,Owner,Created by id,Created by,Updated by id,Updated by,Import ID,Inside Sales Collaboration,To be deleted,Cloud Provider,Hosting Provider,Renewal month,Email Renewal Date,Present Email Service Provider,Cloud Billing Frequency,Segment,Microsoft Agreement,Account Type,Tags
2002150599,Mahathi Software Pvt Ltd.,51-200,,www.mahathi.com/contacts.html,,,"7380 Sand Lake Road, ",Suite 500 ,"Orlando, FL",32819,USA,,,,2024-02-03 06:00:12 UTC,Outgoing email,,Email,2024-02-03 06:00:12 UTC,"
Schedule the demo on 25th Sep,2017.",Hospitality,Prospect,,,2017-07-26 08:53:02 UTC,2023-09-21 10:30:59 UTC,,;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-21 10:31:00 UTC,,,,2000031227,,2000031252,,2000077892,Manish Gupta,,,,,,,2017-08-22 18:30:00 UTC,Microsoft Office 365,,,,,
2002153967,Nray Enterprises,10-Jan,,nray.in/contact.html,098739 30018,,"D - 195 Sector 10 , 1st Floor",Noida,Uttar Pradesh,201301,India,,,,2024-02-01 05:28:08 UTC,Outgoing email,,Email,2024-02-01 05:28:08 UTC,closed the deal with Tech Jockey,Technology,Customer,,,2017-07-27 06:01:09 UTC,2024-01-23 12:27:36 UTC,,;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-10-23 08:17:36 UTC,,,,2000079865,,2000031235,,2000077892,Manish Gupta,,,,,,,,Microsoft Office 365,,,,,
2002153976,Koyo Bearings India Private Limited.,51-200,,www.jtekt.co.jp/e/,,," Plot # 8-9, Sector 8, Industrial Model Twp",Bawal,Haryana,123501,India,,,,2022-03-09 16:45:02 UTC,Outgoing email,,Phone,2019-06-10 08:56:33 UTC,,Automotive,Customer,,,2017-07-27 06:25:04 UTC,2023-08-21 16:54:56 UTC,;March 2021 - All Contacts,;;;;;Compassionate - Active Contacts;;;;;;March 2021 - Contacts;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2022-04-15 07:53:12 UTC,,,,2000077892,Manish Gupta,2000031235,,2000077892,Manish Gupta,,,,,,,,Microsoft Office 365,,,,,
2002153986,BWSSC,51-200,,bwssc.in,,,"405, 4th Floor, DLF City Court Sikenderpur, ","Gurugram,", Haryana,122002,India,,,,2024-02-01 05:22:47 UTC,Email opened by recipient,,Email,2024-02-01 05:22:47 UTC,Ahsaan-' Still i have not received any confirmation of the payment done. I will share the details once it gets done'.,Consumer Products,Customer,,,2017-07-27 06:34:56 UTC,2024-03-07 11:52:02 UTC,March 2021 - Contacts,;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2024-02-07 12:16:02 UTC,,,,2000069069,,2000031235,,0,,,,,,,,,Microsoft Office 365,,,,,
2002154062,A. V. Systems,,,avsystems.co.in/contact-us/,'+91-11-26382324',,"No. 7 / 29, Shyam Nagar, Behind Chandiwala, Estate, Okhla Industrial, Area, Phase - 3,  ",New Delhi,Delhi ,110020,India,,,,,,,,,"There is no contact updated in this account. Also, the landline number +91-11-26382324 is not ringing.",Other,Customer,,,2017-07-27 07:57:06 UTC,2023-08-26 06:44:23 UTC,,,,,,,2000031227,,2000031227,,2000031227,,,,,,,,,Google,,,,,
2002154148,Mansui Trading Pvt.Ltd.,10-Jan,,,,,"C-17, 2nd Floor, Omaxe City Centre, Sohna Road, Sector 49, ","Gurugram, ",Haryana ,122018,India,,,,2024-02-03 06:01:39 UTC,Email opened by recipient,,Email,2024-02-03 06:01:39 UTC,,Automotive,Customer,,,2017-07-27 09:40:38 UTC,2023-08-03 11:37:03 UTC,March 2021 - Contacts,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2022-04-15 07:53:12 UTC,,,,2000077892,Manish Gupta,2000031235,,0,,,,,,,,,Others,,,,,
2002154569,ACS Infotech Pvt. Ltd.,51-200,,www.acsinfotech.com,'+91-11-40614000/01 ',,"C 130 First Floor, Sector 2, C Block, Noida, Uttar Pradesh 201301",Noida,Uttar Pradesh,201301,India,,,,2024-02-02 06:39:48 UTC,Outgoing email,,Email,2024-02-02 06:39:48 UTC,"Tried calling Mr. Sanjay on his mobile number, but he is not responding to the calls. No one answered the landline number as well.",Software,Customer,,,2017-07-27 10:25:35 UTC,2024-02-19 08:39:44 UTC,,;;;;Compassionate - Active Contacts;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Surface Lead - April 2021;Contacts MicrosoftDirectProgram Leads;,2024-02-14 06:32:57 UTC,,,,2000031227,,2000031227,,2000077892,Manish Gupta,,,,,,,,Others,,,,,
2002154692,"Saigun Technologies Pvt. Ltd. / Empxtrack, Inc",51-200,,www.empxtrack.com,'+91-120-4737900',,"A-27/E, Sector 16 ",Noida ,Uttar Pradesh,201301,India,,,,2024-02-02 06:36:28 UTC,Email opened by recipient,,Email,2024-02-02 06:36:28 UTC,,Software,Customer,,,2017-07-27 10:45:48 UTC,2023-08-03 09:48:04 UTC,,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,,,,,2000031227,,2000031227,,0,,,,,,,,,Others,,,,,
2002154892,QVC Realty Co. Limited,Nov-50,,www.qvcrealty.com,080 4025 0333,,"619 Aceron Tervezo 1st Floor 6B Main, 17A Cross, 2nd Stage, Indiranagar,",Bengaluru,Karnataka ,560038,India,,,,2020-06-06 05:36:16 UTC,Email opened by recipient,,Email,2020-06-06 05:36:16 UTC,,Real Estate,Prospect,,,2017-07-27 12:45:27 UTC,2023-11-09 06:26:22 UTC,;March 2021 - All Contacts,Compassionate - Active Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,,,,,2000031227,,2000031227,,2000077892,Manish Gupta,,,,,,,,Microsoft Office 365,,,,,
2002156158,Light Ray Advisors - Elevation Capital,Nov-50,,elevationcapital.com,'+91-124-4965500',,"1502, 15th Floor, One Horizon, Sector 43, DLF Phase V, Golf Course Road,",Gurgaon,Haryana,122002,INDIA,,,https://www.linkedin.com/company/elevationcap/about/,2024-02-02 06:38:41 UTC,Email opened by recipient,,Email,2024-02-02 06:38:41 UTC,Bhupender-' I  was not available for the last 4 to 5 days. I will have to check the status of the payment done. I will update you after the same'.,Financial Services,Customer,,,2017-07-28 05:39:47 UTC,2024-03-07 12:11:45 UTC,;,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;;,2023-09-20 10:07:21 UTC,,,,2000031227,,2000031255,,0,,,,,,,,,Google,,SMB - Commercial,,,
2002156223,Neco Industries Limited,,,www.necoindia.com/contact-us/,'+91-7104-237276',,"F-8, MIDC INDL. AREA, Hingna Road,",Nagpur ,Maharashtra ,440016,India,,,,2024-02-03 06:01:40 UTC,Email opened by recipient,,Email,2024-02-03 06:01:40 UTC,"Had a word with Mr. Vinay, he conveyed that the renewal of his M365 Subscriptions is in the month of April. Currently, they have 100 Business Basic licenses, but he might upgrade them to either Business Standard or Apps for Business. Quantity might be increased to 200-250. He asked to connect in the month of March 2023. Actual date of Renewal is 1st May. Email Solution is Google workspace.

",Engineering,Prospect,,,2017-07-28 07:25:44 UTC,2023-11-25 09:54:46 UTC,,Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,,,,,2000031227,,2000031227,,0,,,,,,,,,Google,,,,,
2002201091,Holostik India Ltd.,201-500,,holostik.com,'+91-120-4192799',,"C-117, C Block, Sector 2",Noida,Uttar Pradesh,201301,India,,,,2024-02-02 06:38:51 UTC,Outgoing email,,Email,2024-02-02 06:38:51 UTC,,Manufacturing,,,,2017-07-30 08:39:20 UTC,2024-02-08 04:53:03 UTC,;Compassionate - Active Contacts,;New Sequence;;;;;;Powerhouse (Delhi NCR Mobile Number);Powerhouse Delhi NCR O365 with Mobile Number;Zoom vs Teams;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-24 09:46:54 UTC,,,,2000031227,,2000031232,,2000031227,,,,Yes,,,,,Microsoft Office 365,,SMB - Commercial,,,
2002201099,IPE Global Ltd,501-1000,,www.ipeglobal.com,1140755900,,"B-84, Bhishma Pitamah Marg, Block B, Defence Colony",New Delhi,Delhi,110024,India,,,,2024-02-03 06:00:54 UTC,Outgoing email,,Email,2024-02-03 06:00:54 UTC,,Consulting,Customer,,,2017-07-30 09:06:43 UTC,2023-08-19 08:11:34 UTC,;,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-19 08:11:35 UTC,,,,2000077892,Manish Gupta,2000031232,,2000077892,Manish Gupta,,,,,,,2017-03-29 18:30:00 UTC,Microsoft Office 365,,SMB - Commercial,,,
2002201106,Acidaes Solutions Private Limited (CRMNEXT),501-1000,,www.crmnext.com,,,,Mumbai,,,India,,,,2024-02-03 06:01:41 UTC,Outgoing email,,Email,2024-02-03 06:01:41 UTC,,Technology,Prospect,,,2017-07-30 09:21:54 UTC,2023-09-04 06:18:59 UTC,,;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-04 06:19:00 UTC,,,,2000031227,,2000031232,,2000077892,Manish Gupta,,,,,,,,Others,,,,,
